"year","iddist","pop_landscan"
"2021","230303",1501
"2022","230303",1352
"2023","230303",1399
"2017","180301",51380.7
"2018","180301",56216.4
"2019","180301",56748.8
"2020","180301",57267.2
"2021","180301",57781.8
"2022","180301",57915.1
"2023","180301",59541.9
"2017","230102",16408.2
"2018","230102",18006.1
"2019","230102",18169.9
"2020","230102",22209.1
"2021","230102",22402.3
"2022","230102",24286.6
"2023","230102",23597.7
"2017","230106",499.8
"2018","230106",665.5
"2019","230106",705
"2020","230106",3429
"2021","230106",3485.5
"2022","230106",3930.2
"2023","230106",3894.7
"2017","230404",409.5
"2018","230404",304
"2019","230404",307.2
"2020","230404",249.4
"2021","230404",249.4
"2022","230404",527.9
"2023","230404",525.9
"2017","230403",457.6
"2018","230403",324.6
"2019","230403",330.3
"2020","230403",482.1
"2021","230403",483.4
"2022","230403",695.4
"2023","230403",710
"2017","230407",142.5
"2018","230407",89.9
"2019","230407",91.9
"2020","230407",196.4
"2021","230407",196.4
"2022","230407",195.4
"2023","230407",220.7
"2017","230105",2933.9
"2018","230105",3227.6
"2019","230105",3257
"2020","230105",3298.2
"2021","230105",3333.8
"2022","230105",3295.7
"2023","230105",3240.6
"2017","230301",4138.6
"2018","230301",3038.8
"2019","230301",2526
"2020","230301",2464.9
"2021","230301",2016.6
"2022","230301",1976.4
"2023","230301",2006.6
"2017","180302",2975
"2018","180302",3185.3
"2019","180302",3197.3
"2020","180302",2595.4
"2021","180302",2617.4
"2022","180302",2618.4
"2023","180302",2654.8
"2017","230107",9128
"2018","230107",10185.6
"2019","230107",10263.5
"2020","230107",4235
"2021","230107",4263
"2022","230107",4491.3
"2023","230107",4756
"2017","230402",203.8
"2018","230402",134
"2019","230402",134
"2020","230402",181.9
"2021","230402",183.9
"2022","230402",457
"2023","230402",452.6
"2017","230204",60
"2018","230204",41.9
"2019","230204",41.9
"2020","230204",223
"2021","230204",222.8
"2022","230204",305.4
"2023","230204",305.4
"2017","230405",409.3
"2018","230405",290
"2019","230405",291.4
"2020","230405",306.7
"2021","230405",306.7
"2022","230405",234.4
"2023","230405",230.9
"2017","230206",326.5
"2018","230206",229.1
"2019","230206",232.1
"2020","230206",324
"2021","230206",325
"2022","230206",295.6
"2023","230206",300.6
"2017","180303",5326
"2018","180303",6418.3
"2019","180303",6483.3
"2020","180303",5639.3
"2021","180303",5688
"2022","180303",5702.8
"2023","180303",5703.8
"2017","230401",3639.1
"2018","230401",2811.2
"2019","230401",2838.3
"2020","230401",2166.2
"2021","230401",2195.8
"2022","230401",1702.5
"2023","230401",1703.4
"2017","230205",225.5
"2018","230205",157.8
"2019","230205",158.9
"2020","230205",63.6
"2021","230205",64.6
"2022","230205",55.6
"2023","230205",55.6
"2017","230408",872.6
"2018","230408",642.9
"2019","230408",648.3
"2020","230408",1002.1
"2021","230408",1016.1
"2022","230408",765.1
"2023","230408",754.4
"2017","230302",2719.8
"2018","230302",2914.5
"2019","230302",4488.9
"2020","230302",4761
"2021","230302",5948.8
"2022","230302",6156.2
"2023","230302",6126.1
"2017","180104",377.1
"2018","180104",434.7
"2019","180104",435.6
"2020","180104",3053.8
"2021","180104",3076.9
"2022","180104",3178.8
"2023","180104",3197.4
"2017","040706",2501.4
"2018","040706",2211.1
"2019","040706",2230.6
"2020","040706",2787.4
"2021","040706",2795.6
"2022","040706",2966.9
"2023","040706",2936.5
"2017","230202",1592.4
"2018","230202",1090.2
"2019","230202",1102.4
"2020","230202",999.6
"2021","230202",1003.5
"2022","230202",907.3
"2023","230202",914
"2017","230406",577.5
"2018","230406",371.3
"2019","230406",371.3
"2020","230406",669.9
"2021","230406",670.2
"2022","230406",1155.1
"2023","230406",1144.4
"2017","040703",1445
"2018","040703",1278.5
"2019","040703",1295.6
"2020","040703",2528.1
"2021","040703",2653.5
"2022","040703",2682.1
"2023","040703",2688.6
"2017","230203",1904.2
"2018","230203",1306
"2019","230203",1322.4
"2020","230203",1245
"2021","230203",1257.9
"2022","230203",1479.7
"2023","230203",1595.5
"2017","040705",948.1
"2018","040705",836.5
"2019","040705",842.9
"2020","040705",1246.2
"2021","040705",1301.3
"2022","040705",1297.4
"2023","040705",1287
"2017","210502",12056.9
"2018","210502",8817.9
"2019","210502",8787.4
"2020","210502",1589.4
"2021","210502",1607.1
"2022","210502",1594.1
"2023","210502",1643.6
"2017","230201",2992.5
"2018","230201",2103
"2019","230201",2115.5
"2020","230201",2108.2
"2021","230201",2135.8
"2022","230201",1975.3
"2023","230201",1954.5
"2017","040704",2469.4
"2018","040704",2405.8
"2019","040704",2422.5
"2020","040704",3928
"2021","040704",3940.6
"2022","040704",3932
"2023","040704",4069.1
"2017","180106",12466
"2018","180106",14870.9
"2019","180106",15004.2
"2020","180106",13588.2
"2021","180106",13707.8
"2022","180106",12706.7
"2023","180106",12754.7
"2017","180101",28290.2
"2018","180101",31819.4
"2019","180101",32164.1
"2020","180101",34460.7
"2021","180101",34784.7
"2022","180101",36347.1
"2023","180101",36404.8
"2017","180103",174.4
"2018","180103",197.5
"2019","180103",197.5
"2020","180103",1304
"2021","180103",1315.9
"2022","180103",1202.9
"2023","180103",1231
"2017","210405",21646.4
"2018","210405",15347.4
"2019","210405",15523.1
"2020","210405",5822.1
"2021","210405",5863.1
"2022","210405",5863.4
"2023","210405",6484.6
"2017","040702",469.5
"2018","040702",515
"2019","040702",524.9
"2020","040702",2733.4
"2021","040702",2798.9
"2022","040702",2788.3
"2023","040702",2752.2
"2017","040701",49224.8
"2018","040701",45579.3
"2019","040701",45975.9
"2020","040701",38677.2
"2021","040701",38835.5
"2022","040701",38746.8
"2023","040701",39329.1
"2017","180205",944
"2018","180205",540.5
"2019","180205",545.3
"2020","180205",929.4
"2021","180205",936.2
"2022","180205",1454.3
"2023","180205",1434.7
"2017","040201",3520.7
"2018","040201",3715.5
"2019","040201",3748.7
"2020","040201",3933.1
"2021","040201",3968.7
"2022","040201",3979
"2023","040201",4126.7
"2017","180209",140
"2018","180209",70.7
"2019","180209",70.7
"2020","180209",245.1
"2021","180209",247.2
"2022","180209",374.3
"2023","180209",375.3
"2017","040202",3052.7
"2018","040202",3219.4
"2019","040202",3249.8
"2020","040202",4908.8
"2021","040202",4951.6
"2022","040202",4962.4
"2023","040202",4018.3
"2017","210404",11070.7
"2018","210404",7914
"2019","210404",7981
"2020","210404",8339.6
"2021","210404",8377.8
"2022","210404",8367.3
"2023","210404",8750.5
"2017","180105",1115.9
"2018","180105",1198.1
"2019","180105",1202.9
"2020","180105",1244.2
"2021","180105",1252.4
"2022","180105",1124.1
"2023","180105",1160.2
"2017","210402",10161.8
"2018","210402",7516.1
"2019","210402",7552.8
"2020","210402",5082.2
"2021","210402",5200.9
"2022","210402",5169
"2023","210402",5369
"2017","040208",15416.3
"2018","040208",16273
"2019","040208",16415
"2020","040208",17957.9
"2021","040208",18122.5
"2022","040208",18161.7
"2023","040208",18489.3
"2017","040115",2193.3
"2018","040115",2982.6
"2019","040115",8266.7
"2020","040115",8018.6
"2021","040115",11446.4
"2022","040115",12226.3
"2023","040115",12046
"2017","180201",770.7
"2018","180201",435.9
"2019","180201",437.9
"2020","180201",1940.8
"2021","180201",1959.8
"2022","180201",1801.1
"2023","180201",1825
"2017","210504",21436.9
"2018","210504",15953.6
"2019","210504",15959.4
"2020","210504",3801.8
"2021","210504",3900.7
"2022","210504",3951.8
"2023","210504",4809.9
"2017","040127",2039.9
"2018","040127",2973.5
"2019","040127",6374
"2020","040127",7416.8
"2021","040127",9753
"2022","040127",10207
"2023","040127",10036.1
"2017","040114",4046.2
"2018","040114",5468.5
"2019","040114",4836.6
"2020","040114",4049.4
"2021","040114",3679.8
"2022","040114",3586.5
"2023","040114",3357.4
"2017","040111",4364
"2018","040111",5041.9
"2019","040111",7751.1
"2020","040111",17084
"2021","040111",17740.6
"2022","040111",17774.5
"2023","040111",17511.5
"2017","180102",14362.8
"2018","180102",15133.7
"2019","180102",15263
"2020","180102",11683.2
"2021","180102",11779.3
"2022","180102",10876.7
"2023","180102",10875.7
"2017","180208",4565.8
"2018","180208",2673.7
"2019","180208",2717.3
"2020","180208",1959.2
"2021","180208",1974.7
"2022","180208",1801.5
"2023","180208",1707
"2017","040207",3831.6
"2018","040207",4123.3
"2019","040207",4188.1
"2020","040207",1805.4
"2021","040207",1828.2
"2022","040207",1828.1
"2023","040207",1779.7
"2017","180203",1052.8
"2018","180203",619.8
"2019","180203",627.8
"2020","180203",760.5
"2021","180203",771.5
"2022","180203",709.3
"2023","180203",698
"2017","210403",13393.1
"2018","210403",9458.4
"2019","210403",9576.4
"2020","210403",6224.2
"2021","210403",6263.1
"2022","210403",6287.1
"2023","210403",6165.9
"2017","040122",16394.5
"2018","040122",18784.7
"2019","040122",17807.9
"2020","040122",20364.9
"2021","040122",20026.9
"2022","040122",19979.9
"2023","040122",19684.8
"2017","040113",1749.1
"2018","040113",1960.3
"2019","040113",1735.2
"2020","040113",1785.9
"2021","040113",1624.7
"2022","040113",1574.4
"2023","040113",1548.6
"2017","040107",9600.4
"2018","040107",13584.3
"2019","040107",13534.7
"2020","040107",13532.1
"2021","040107",13768.1
"2022","040107",13741.8
"2023","040107",13538.4
"2017","040116",2161.7
"2018","040116",3477.1
"2019","040116",6332.8
"2020","040116",8981.9
"2021","040116",10711.1
"2022","040116",11046
"2023","040116",10883.4
"2017","210505",7794.1
"2018","210505",5624.6
"2019","210505",5586.7
"2020","210505",1917.6
"2021","210505",1907.8
"2022","210505",1988.8
"2023","210505",2305.3
"2017","040129",28167.5
"2018","040129",32154.1
"2019","040129",28728.3
"2020","040129",24439.8
"2021","040129",23647.2
"2022","040129",23525.1
"2023","040129",23656.7
"2017","040123",2712.8
"2018","040123",4727.9
"2019","040123",4672.9
"2020","040123",8682
"2021","040123",8317.2
"2022","040123",8322.4
"2023","040123",8176.7
"2017","040117",4519.4
"2018","040117",5985.9
"2019","040117",5957.7
"2020","040117",11340
"2021","040117",11157.5
"2022","040117",11112.1
"2023","040117",10021.4
"2017","040105",5794.7
"2018","040105",6612.4
"2019","040105",5866
"2020","040105",9092.5
"2021","040105",8250.2
"2022","040105",8033.6
"2023","040105",7914.6
"2017","040108",17119.2
"2018","040108",24165.1
"2019","040108",21455.6
"2020","040108",45772.7
"2021","040108",42162.7
"2022","040108",41301.7
"2023","040108",40564.2
"2017","040112",67765.2
"2018","040112",81374.8
"2019","040112",91342.2
"2020","040112",78452.4
"2021","040112",89171.8
"2022","040112",91317.3
"2023","040112",91033.9
"2017","040121",2431.5
"2018","040121",2848.4
"2019","040121",2517.7
"2020","040121",2960.3
"2021","040121",2695.6
"2022","040121",2618.1
"2023","040121",2562
"2017","040101",166716.7
"2018","040101",190686
"2019","040101",169399.6
"2020","040101",140369.2
"2021","040101",128389.6
"2022","040101",125288
"2023","040101",144865.9
"2017","180207",655.6
"2018","180207",337.9
"2019","180207",340.2
"2020","180207",533.9
"2021","180207",539.9
"2022","180207",497.1
"2023","180207",473.2
"2017","040126",33084.9
"2018","040126",37779.6
"2019","040126",33939.1
"2020","040126",28155.3
"2021","040126",26031.7
"2022","040126",25496.1
"2023","040126",25790
"2017","040124",2615.5
"2018","040124",11079.7
"2019","040124",10127.7
"2020","040124",19239.2
"2021","040124",17779.9
"2022","040124",17418.7
"2023","040124",17069.9
"2017","040205",6396.9
"2018","040205",6749.7
"2019","040205",6806.3
"2020","040205",5962.5
"2021","040205",6015.7
"2022","040205",6030
"2023","040205",6205.5
"2017","210407",26550.3
"2018","210407",15702.2
"2019","210407",15728.8
"2020","210407",19547.4
"2021","210407",19654.9
"2022","210407",19702
"2023","210407",20152.6
"2017","040118",454.6
"2018","040118",575.5
"2019","040118",512.8
"2020","040118",258.5
"2021","040118",239.8
"2022","040118",232.8
"2023","040118",219
"2017","211303",5609.8
"2018","211303",4067.4
"2019","211303",4100.6
"2020","211303",3964.1
"2021","211303",3999.6
"2022","211303",4010
"2023","211303",3498.5
"2017","040109",72556
